"","quantile_p","arm_type","replication","strategy","num_rounds","chosen_arm"
"394",0.1,"uniform",2,"QPAC BB",13780,0
"395",0.1,"uniform",2,"QPAC",109780,0
"396",0.1,"uniform",2,"Doubled Max-Q",1175552,0
"397",0.1,"uniform",3,"LUCB BB",10863,0
"398",0.1,"uniform",3,"LUCB DKW",75084,0
"399",0.1,"uniform",3,"LUCB Stitched",13146,0
"400",0.1,"uniform",3,"QPAC BB",16730,0
"401",0.1,"uniform",3,"QPAC",111550,0
"402",0.1,"uniform",3,"Doubled Max-Q",1175552,0
"403",0.1,"uniform",4,"LUCB BB",6425,0
"404",0.1,"uniform",4,"LUCB DKW",61775,0
"405",0.1,"uniform",4,"LUCB Stitched",11003,0
"406",0.1,"uniform",4,"QPAC",96970,0
"407",0.1,"uniform",4,"QPAC BB",10970,0
"408",0.1,"uniform",4,"Doubled Max-Q",1175552,0
"409",0.1,"uniform",5,"LUCB BB",10771,0
"410",0.1,"uniform",5,"LUCB DKW",68025,0
"411",0.1,"uniform",5,"LUCB Stitched",12750,0
"412",0.1,"uniform",5,"QPAC BB",15970,0
"413",0.1,"uniform",5,"QPAC",98150,0
"414",0.1,"uniform",5,"Doubled Max-Q",1175552,0
"415",0.1,"uniform",6,"LUCB BB",9163,0
"416",0.1,"uniform",6,"LUCB DKW",63626,0
"417",0.1,"uniform",6,"LUCB Stitched",12763,0
"418",0.1,"uniform",6,"QPAC BB",13910,0
"419",0.1,"uniform",6,"QPAC",96220,0
"420",0.1,"uniform",6,"Doubled Max-Q",1204224,0
"421",0.1,"uniform",7,"LUCB BB",8777,0
"422",0.1,"uniform",7,"LUCB DKW",72019,0
"423",0.1,"uniform",7,"LUCB Stitched",12881,0
"424",0.1,"uniform",7,"QPAC BB",16390,0
"425",0.1,"uniform",7,"QPAC",98860,0
"426",0.1,"uniform",7,"Doubled Max-Q",1175552,0
"427",0.1,"uniform",8,"LUCB BB",8431,0
"428",0.1,"uniform",8,"LUCB DKW",78051,0
"429",0.1,"uniform",8,"LUCB Stitched",10899,0
"430",0.1,"uniform",8,"QPAC BB",18100,0
"431",0.1,"uniform",8,"QPAC",107340,0
"432",0.1,"uniform",8,"Doubled Max-Q",1204224,0
"433",0.1,"uniform",9,"LUCB BB",7067,0
"434",0.1,"uniform",9,"LUCB DKW",60721,0
"435",0.1,"uniform",9,"LUCB Stitched",11083,0
"436",0.1,"uniform",9,"QPAC BB",11750,0
"437",0.1,"uniform",9,"QPAC",105450,0
"438",0.1,"uniform",9,"Doubled Max-Q",1175552,0
"439",0.1,"uniform",10,"LUCB BB",6117,0
"440",0.1,"uniform",10,"LUCB DKW",72573,0
"441",0.1,"uniform",10,"LUCB Stitched",10749,0
"442",0.1,"uniform",10,"QPAC",110240,0
